commit|date|message|createdFilesCount|deletedFilesCount|updatedFilesCount|typesCount|methodsCount|fieldsCount|deprecatedAnnotationsCount|checkoutTime|apiTime|diffTime|breakingChangesCount|breakingChanges
604b400e38cf8bd9aa7d5b70ea06ba1569ceed1a|Mon Apr 18 14:45:09 CEST 2011|point build.xml at new MOE_MIGRATION=|0|0|0|206|1707|77|11|9|9|248|0|
5ef30df12a54b06d59416feeb53ae1891d9579ff|Wed Apr 20 14:55:56 CEST 2011||0|0|1|206|1707|77|11|12|64|43|1|BC[kind=SUPERTYPE_REMOVED, impactedSymbol=com.google.common.util.concurrent.ExecutionList, newSymbol=com.google.common.util.concurrent.ExecutionList]
6febfcaeb5cee048529e38cb781a8dc7a06252c4|Wed Apr 20 15:21:42 CEST 2011||0|0|1|206|1707|77|11|9|90|31|0|
0fbb5fd987e669919e77023b5f44319cbf1a1fc4|Wed Apr 20 22:05:07 CEST 2011|updated POMs for maven builds.|0|0|0|206|1707|77|11|18|6|31|0|
e7eb1829e0979fb691a7668ecd15116a9afd7e2e|Fri Apr 22 16:27:55 CEST 2011||0|0|1|206|1707|77|11|10|74|33|0|
8bd124ef4b414552fcdc6ba7a52aa677c60f6fee|Fri Apr 22 16:35:06 CEST 2011||8|0|1|213|1763|79|12|15|100|21|0|
ee8f585a1bc430c6c2ee035e7a0b7fd28aadcda5|Fri Apr 22 16:43:36 CEST 2011||0|0|1|213|1763|79|12|12|72|12|0|
195c219da43c9e72d4f203bde6af55b6b9c44955|Fri Apr 22 16:44:24 CEST 2011||0|0|0|213|1763|79|12|196|7|10|0|
ac41a695df586611cc94b58b0a4694b45fb0367f|Fri Apr 22 20:43:54 CEST 2011||0|0|1|213|1763|79|12|358|52|7|0|
fd8214ea734857a27bfd349a85ca32fc7a24d5bb|Mon Apr 25 16:08:46 CEST 2011||0|0|0|213|1763|79|12|9|4|8|0|
6b0878bb361f990e8125db56e1905ea43d35ad45|Mon Apr 25 16:54:42 CEST 2011||0|0|0|213|1763|79|12|8|4|7|0|
aed324cc5bcc6b50d5624d734d8cfb6336be84c4|Tue Apr 26 02:49:50 CEST 2011||0|0|3|213|1763|79|12|9|71|8|0|
ef2231dbccbafe2b1ed1b49c2a190b550b09e7df|Tue Apr 26 16:46:49 CEST 2011||0|0|5|213|1763|79|12|13|86|9|0|
6b57b0fac9f798a0f8a6d48f1c53f04db47112b1|Tue Apr 26 16:52:01 CEST 2011||0|0|1|213|1763|79|12|12|9|7|0|
926b756dd992a11ccab513e1abd9a9f20f8868d5|Wed Apr 27 14:31:53 CEST 2011||0|0|0|213|1763|79|12|8|4|7|0|
294ae439736e9aa3f87ce727929b2bb6f225dc43|Wed Apr 27 14:48:24 CEST 2011||0|0|1|213|1765|79|12|8|21|9|0|
6c3eec595a9a8d2ec0277cfa46e9592637ae24c3|Wed Apr 27 15:02:44 CEST 2011||3|0|1|215|1772|79|12|11|24|8|1|BC[kind=METHOD_RETURN_TYPE_CHANGED, impactedSymbol=com.google.common.util.concurrent.MoreExecutors.sameThreadExecutor(), newSymbol=com.google.common.util.concurrent.MoreExecutors.sameThreadExecutor()]
